"Year","Season","Total_Shootings"
2006,"Winter",404
2006,"Spring",431
2006,"Summer",658
2006,"Fall",562
2007,"Winter",311
2007,"Spring",419
2007,"Summer",652
2007,"Fall",505
2008,"Winter",358
2008,"Spring",475
2008,"Summer",646
2008,"Fall",480
2009,"Winter",342
2009,"Spring",412
2009,"Summer",603
2009,"Fall",471
2010,"Winter",348
2010,"Spring",465
2010,"Summer",633
2010,"Fall",466
2011,"Winter",351
2011,"Spring",401
2011,"Summer",616
2011,"Fall",571
2012,"Winter",315
2012,"Spring",430
2012,"Summer",621
2012,"Fall",351
2013,"Winter",276
2013,"Spring",278
2013,"Summer",442
2013,"Fall",343
2014,"Winter",299
2014,"Spring",336
2014,"Summer",483
2014,"Fall",346
2015,"Winter",303
2015,"Spring",380
2015,"Summer",429
2015,"Fall",322
2016,"Winter",227
2016,"Spring",259
2016,"Summer",412
2016,"Fall",310
2017,"Winter",192
2017,"Spring",225
2017,"Summer",313
2017,"Fall",240
2018,"Winter",204
2018,"Spring",222
2018,"Summer",296
2018,"Fall",236
2019,"Winter",185
2019,"Spring",213
2019,"Summer",332
2019,"Fall",237
2020,"Winter",277
2020,"Spring",277
2020,"Summer",901
2020,"Fall",493
2021,"Winter",340
2021,"Spring",538
2021,"Summer",631
2021,"Fall",502
2022,"Winter",320
2022,"Spring",481
2022,"Summer",555
2022,"Fall",360
